Surname,Awards,Education,Dblp
Hansen,6,"Per Brinch Hansen was born in Frederiksberg, an enclave surrounded by Copenhagen, Denmark. His father, Jørgen Brinch Hansen, worked as a civil engineer, becoming a leading expert in soil mechanics, and later accepting a professorship at Technical University of Denmark. His mother, Elsebeth Brinch Hansen (née Ring), was the daughter of Danish composer Oluf Ring and worked as a hairdresser before marrying.[1] Brinch Hansen attended Skt. Jørgens Gymnasium and then studied electrical engineering at Technical University of Denmark where he sought an area to pursue that ""was still in its pioneering phase"" on the belief that ""If a subject was being taught, it was probably already too late to make fundamental contributions.""[1][2] After a seven-week student internship at IBM's Hursley Laboratory in England, he decided to dedicate his career to computers. Initially focused on computer construction, reading a book on the IBM 7030 Stretch project that described computer organization from a programmer's point of view[3] refocused his interest toward becoming a computer architect.[1] After completing a Master of Science degree in electronic engineering in 1963, Brinch Hansen landed a job at Regnecentralen, then a research institution under The Danish Academy of Technical Sciences (Akademiet for de Tekniske Videnskaber), working in the compiler group, led by Peter Naur and Jørn Jensen.[2] There, his first significant project was writing a parser for a COBOL compiler for the Siemens 3003 computer. Subsequently, he wrote a file system to be used during execution of the compiled COBOL programs, later observing:[1] I now understand that it was really a small operating system, I had programmed. However, in the mid 1960s, the dividing line between language implementation and operating systems was still not clearly understood. In 1966, Brinch Hansen moved to Henning Isaksson's hardware group at Regnecentralen, by then a company with shareholders. Together with Peter Kraft, he defined the computer architecture and instruction set for Regnecentralen's third computer, the RC 4000, using ALGOL 60 as a hardware description language to produce a formal specification. Inexperienced with multiprogramming, he used a copy of Cooperating Sequential Processes[4] Edsger Dijkstra had sent him to understand process synchronization using semaphores, and then implemented a specialized RC 4000 real-time monitor for use in managing a fertilizer plant. Peter Kraft and Charles Simonyi, who was still a teenager, wrote a p-code interpreter and data logging task programs that were compiled to p-code.[1] In the summer of 1967, Brinch Hansen left Regnecentralen's hardware group to become head of RC 4000 software development, where he led a team including Jørn Jensen, Peter Kraft and Søren Lauesen in defining a general-purpose RC 4000 multiprogramming system, with a goal to avoid developing a custom real-time control operating system for every RC 4000 installation, and to support batch processing and time-sharing as well.[1] The resulting system was not a complete operating system, but a small kernel providing the mechanisms upon which operating systems for different purposes could be built.[5] By the spring of 1969, a well-documented, reliable version of the RC 4000 multiprogramming system was running.[1] In late 1970, Brinch Hansen moved to Pittsburgh, accepting an invitation from Alan Perlis to visit the department of computer science at Carnegie Mellon University as a research associate, while he wrote the first systematic textbook on operating system principles.[1][2] During this time, at the 1971 Summer School in Marktoberdorf and a symposium in Belfast, Brinch Hansen, Tony Hoare and Dijkstra began to discuss ideas that evolved into the monitor concept. In the spring of 1972, after reading about the class concept invented by Ole-Johan Dahl and Kristen Nygaard for Simula 67, Brinch Hansen completed his text with a chapter on resource protection that proposed the first monitor notation, using shared classes.[6] In 1973, Operating System Principles was published, becoming the first comprehensive textbook on operating systems.[7] In July 1972, Brinch Hansen joined the faculty of the California Institute of Technology (Caltech) as an Associate Professor of computer science, where he began work on defining a programming language with concurrent processes and monitors. In April 1974, he distributed a technical report on Concurrent Pascal.[1][2] A Concurrent Pascal compiler for the PDP 11/45, written by Brinch Hansen's doctoral student, Al Hartmann, was released in January 1975.[8] Subsequently, Brinch Hansen began writing model operating systems in Concurrent Pascal, to evaluate the language. In May 1975, he completed Solo, a single-user operating system for development of Concurrent Pascal programs. Next, he rewrote the original RC 4000 real-time scheduler in Concurrent Pascal, taking three days to write it, and three hours of machine time to systematically test it.[6] When the Caltech computer science department shifted focus toward computer engineering and away from programming Brinch Hansen decided to leave, rather than to seek tenure there.[1] In 1976, Brinch Hansen chose University of Southern California (USC) for his next post, so that his family could remain in their Altadena home. Joining the faculty as a tenured full professor, and first chair of a newly created computer science department, he led efforts to identify and attract top-notch faculty to build a first rate department. By 1980, USC's computer science department was ranked by the National Research Council as one of the top ten in the US.[1] While at USC, Brinch Hansen wrote his second book, The Architecture of Concurrent Programs, based on his work developing operating systems with Concurrent Pascal.[2] Published in 1977, it was the first book on concurrent programming.[9] In 1978, Brinch Hansen became the first computer scientist awarded the Doctor Technices degree, the highest academic distinction within engineering and technological science in Denmark,[10] for the work documented in The Architecture of Concurrent Programs. Later in 1978, Brinch Hansen published the Distributed Processes language concept, proposing the use of remote procedure calls to synchronize processes running across a microcomputer network.[11] Also in 1978, L. J. Sevins and Steve Goings from Mostek visited Brinch Hansen at USC, where he outlined a low-cost multiprocessor architecture. Mostek began a project to implement such a multiprocessor, with Brinch Hansen working as a consultant.[1] Brinch Hansen developed a new concurrent programming language, Edison, for the project.[12] As with the RC 4000 project, Edison was also used as a formal specification language for the hardware. Mostek got an initial 4-node multiprocessor working and Brinch Hansen wrote a portable Edison compiler on a PDP 11/55, but shortly after, United Technologies acquired Mostek[13] and cancelled the project. In 1982, Brinch Hansen moved the Edison system to an IBM Personal Computer (PC), and then published his third book, Programming a Personal Computer.[14] In 1982, Brinch Hansen was named the first Henry Salvatori Professor of Computer Science at USC.[1] In 1984, feeling homesick for Denmark after 14 years abroad, Brinch Hansen left USC and joined the faculty of the University of Copenhagen as a Professor of datalogy.[1] In 1985, he was elected a Fellow of the Institute of Electrical and Electronics Engineers (IEEE).[15] Later in 1985, his fourth book Brinch Hansen on Pascal Compilers, which he used for his own compiler course, was published.[16] While designing a multicomputer operating system for Danish company GN Elmi, Brinch Hansen concluded he needed a new language, this time leveraging the message passing paradigm of Hoare's CSP.[1] The resulting language, Joyce, removed a major limitation of CSP by introducing parallel recursion.[17] Brinch Hansen developed a portable implementation on an IBM PC.[1] After finding that neither he nor his family felt at home in Denmark, Brinch Hansen decided to return to the US, but discovered that their immigration status required them to do so very quickly. Brinch Hansen contacted John Reynolds at Syracuse University and in 1987 he joined the faculty as a Distinguished Professor.[1] Working with his student Rangachari Anand, Joyce was moved to an Encore Multimax 320 multiprocessor at SU's Northeast Parallel Architectures Center. Recognizing the scaling limitations of multiprocessors, however, Brinch Hansen sought a suitable multicomputer for further work. Acquiring a Meiko Computing Surface in 1989, he began experimenting with scientific applications by developing parallel programs for Householder's method (reduction) and then n-body simulation as learning exercises, and was surprised to find that both programs had nearly identical control structures. Concluding that both fit an ""all-pairs paradigm,"" he then focused on exploring reusable parallel algorithm structures he termed ""programming paradigms"" or ""generic programs"" (later, popularly known as ""design patterns"").[1] In 1995, Brinch Hansen's fifth book, Studies in Computational Science: Parallel Programming Paradigms was published,[18] with programs rewritten in SuperPascal, a fully implemented publication language he created for parallel algorithms.[19] In his later years, Brinch Hansen published a retrospective of his most important papers, The Search for Simplicity (1996),[20] a text for a course in programming for non-majors, Programming for Everyone in Java (1999),[21] a retrospective on the evolution of operating systems, Classic Operating Systems: From Batch Processing to Distributed Systems (2001),[22] and a retrospective on the evolution of concurrent programming, The Origin of Concurrent Programming: From Semaphores to Remote Procedure Calls (2002).[23] He self-published a 2004 memoir, A Programmer's Story: The Life of a Computer Pioneer, on his website.[1] In 2002, Brinch Hansen was awarded the IEEE Computer Pioneer Award ""For pioneering development in operating systems and concurrent programming exemplified by work on the RC 4000 multiprogramming system, monitors, and Concurrent Pascal.""[15] On July 31, 2007, Brinch Hansen died, shortly after being diagnosed with terminal cancer.[24]",55
Brinkkemper,0,Education information not found,296
Brooks,0,"Born on April 19, 1931, in Durham, North Carolina,[7] he attended Duke University, graduating in 1953 with a Bachelor of Science degree in physics, and he received a Ph.D. in applied mathematics (computer science) from Harvard University in 1956, supervised by Howard Aiken.[2] Brooks served as the graduate teaching assistant for Ken Iverson at Harvard's graduate program in ""automatic data processing"", the first such program in the world.[8][9][10]",0
Brooks,0,Education information not found,0
Burnett,2,"Burnett was born in 1949, and is originally from Springfield, Illinois.
She studied at Miami University of Ohio from 1967 to 1970, brought there in part by their newly established program in computer science but eventually majoring in mathematics. After graduating, she became a software engineer for Procter & Gamble, the first women hired in a management position at their Ivorydale factory and research center in Cincinnati, Ohio.
She left soon after, following her husband to Santa Fe, New Mexico, where she started her own business, and then to Lawrence, Kansas.[1] In Kansas, she became a student again at the University of Kansas (KU). She earned a master's degree there in 1981, began working as an independent consultant, then started a small consulting business with William Bulgren, a professor at KU, and eventually returned to KU for a Ph.D. in 1987.[1] Her dissertation, Abstraction in the Demand-Driven, Temporal-Assignment, Visual Language Model, concerned visual programming languages and was supervised by Allen L. Ambler.[1][4] On completing her doctorate, she became a Computer Science faculty member at Michigan Technological University. In 1993, she moved to Oregon State University's Computer Science Department.[1]  She and Cherri M. Pancake (hired the same year), were the first two women to be hired as tenure-track Computer Science faculty at Oregon State.",262
Butler,0,Education information not found,20
Gil,3,Education information not found,0
Camp,0,Education information not found,118
Campbell-Kelly,0,Campell-Kelly was educated at Sunderland Polytechnic where he was awarded a PhD in 1980 on the Foundations of computer programming in Britain 1945–1955.[6],44
Candlin,0,Education information not found,4
Canion,0,Education information not found,0
Cantrill,2,Education information not found,11
Cardelli,1,"He was born in Montecatini Terme, Italy. He attended the University of Pisa[7] before receiving his PhD from the University of Edinburgh in 1982[15] for research supervised by Gordon Plotkin.[4]",234
Carmack,1,Education information not found,0
Caspersen,0,Education information not found,0
Catmull,5,Education information not found,0
Cerf,0,Education information not found,0
Chaitin,0,Education information not found,0
Cailliau,13,Education information not found,13
Chaochen,0,Education information not found,34
Chen,4,Education information not found,94
Chiariglione,3,Education information not found,27
Chou,0,"Chou studied computer science at Stanford University with a specialization in machine learning and artificial intelligence.[4] During that time, she interned at Google and Facebook, and went on to receive a master's degree in computer science. Describing her undergraduate experience studying computer science, Chou said she felt, ""really out of place"" and less confident than her male colleagues at the beginning and took time to realize that she was outperforming most of them in coursework.[6]",0
